No.,POI Name Arabic,POI Name English,Category,Food Type,Phone Number,Mobile Number,Street Name ,District,URL,Latitude,Longitude
3,"???? ??????
",mutemna Restaurant ,Restaurant ,,,,King Fahd Branch Rd,Al Arid,,24.829995,46.612870
16,?????? ????,Molciz Burger,Restaurant ,BURGERS,,"00966 59 328 2856
",King Fahd Rd,Al Arid,,24.835424,46.609984
17,"?????
","Buffet
",Restaurant,,,"00966 53 552 8162
",King Fahd Branch Rd,Al Arid,,24.835536,46.609929
20,????? ?????,Dunkin' Donuts,Restaurant,PASTERIE,"
00966 11 465 7008","
",King Fahd Rd,Al Arid,"dunkindonuts.sa
",24.837611,46.608895
22,"????? ?????
","Baskin Robbins
",Restaurant,ICE CREAM,"00966 13 834 3410
",,King Fahd Rd,Al Arid,baskinrobbinsmea.com,24.837490,46.608959
24,??? ???? ?????,DOOH Cafe & Restaurant,Restaurant,,,00966 53 194 0220,King Fahd Branch Rd,Al Arid,dooh.company,24.837726,46.608836
25,????,Herfy,Restaurant,,00966 9200 01111,,King Fahd Rd,Al Arid,herfy.com,24.838142,46.608623
35,????? ?????? ?????,Bufih Ashraqt Rimas,Restaurant,,,,King Fahd Branch Rd,Al Arid,,24.841505,46.606922
43,???? ????? ?????,Rawafid Alarab Restaurant,Restaurant,,,,King Fahd Branch Rd,Al Arid,,24.846402,46.604430
44,???? ????? ????,zawiat rayz Restaurant ,Restaurant,,00966 11 812 4853,,King Fahd Branch Rd,Al Arid,,24.848711,46.603289
61,????? ??????,Shawerma Buffet,Restaurant,,,,King Fahd Branch Rd,Al Arid,,24.850563,46.602353
74,????,Restaurant,Restaurant,,,,King Fahd Branch Rd,Al Arid,,24.860216,46.597417
114,???? ??????,Fawal AlTaif,Restaurant,,,00966 53 324 9288,King Abdulaziz Rd,Al Arid,,24.882627,46.611292
115,???? ??????,Fawal Altaeef,Restaurant,,,00966 55 222 7830,King Abdulaziz Rd,Al Arid,,24.882692,46.611256
122,??????? ????,Ice Cream Rolls,Restaurant,ICE CREAM,,,King Fahd Branch Rd,Al Arid,,24.871440,46.591748
129,???? ??? ????,Abu Haytham Restaurant,Restaurant,,,,King Fahd Branch Rd,Al Arid,,24.875808,46.589514
133,???? ?????,Fatayr Restaurant,Restaurant,,,00966 50 356 8079,King Fahd Branch Rd,Al Arid,,24.876821,46.588996
137,?????? ???,Barbecue and rice,Restaurant,GRILL,,00966 50 320 1874,King Fahd Branch Rd,Al Arid,,24.877065,46.588873
138,???? ???????,sweet factory,Restaurant,,,,Rihana Bint Zaid St,Al Arid,,24.881643,46.603158
173,????? ?????? ?????? ???????,Mataeim Wamatabikh Alkhayma Alshaebia,Restaurant,,,00966 53 541 6153,King Abdulaziz Rd,Al Arid,,24.893119,46.604812
186,???? ???? ?????? ???????,Qasoor Bukhari Restaurant,Restaurant,,,,King Abdulaziz Rd,Al Arid,,24.906443,46.600228
202,???? ?????,Bwakhari Restaurant,Restaurant,,,,Abi Bakr As Siddiq Rd,Al Arid,,24.912805,46.617892
206,???? ?????? ?????,Shawatia' Alyaman Restaurant,Restaurant,,,00966 50 788 2298,King Abdulaziz Rd,Al Arid,,24.903287,46.601328
228,????? ??????,Arabian Grill,Restaurant,GRILL,,00966 57 184 5518,King Abdulaziz Rd,Al Arid,,24.895255,46.605407
244,???? ?????,Bukhari Restaurant,Restaurant,,,,King Abdulaziz Rd,Al Arid,,24.888171,46.608959
250,???? ???????,Bukhari Restaurant,Restaurant,,,,Rihana Bint Zaid St,Al Arid,,24.891163,46.625395
252,???? ???? ??????,Tmis Anzi bakery,Restaurant,,,,Rihana Bint Zaid St,Al Arid,,24.891285,46.625684
264,"???? ?????? ???????
",Al Anzi Bukhari Restaurant,Restaurant,,,,Abi Bakr As Siddiq Rd,Al Arid,,24.895618,46.626590
267,???? ????? ???? ????????,Bukhari Saeed Al-Zahrani Restaurant,Restaurant,,,059 247 9324,Rihana Bint Zaid St,Al Arid,,24.889154,46.622120
269,??? ?????,Fawal And Muttabiq,Restaurant,,,,Rihana Bint Zaid St,Al Arid,,24.888916,46.621562
282,???? ??? ?????,Ghazal Alshsham Restaurant,Restaurant,,,,King Abdulaziz Rd,Al Arid,,24.875249,46.615508
286,???? ???? ?????,Nakhat Rulan Restaurant ,Restaurant ,,,050 138 7073,King Abdulaziz Rd,Al Arid,,24.869134,46.618579
295,?? ????,N5,Restaurant,,,,King Abdulaziz Rd,Al Arid,,24.878266,46.619896
296,????? ???????,Laren Catering,Restaurant,,,055 208 3777,King Abdulaziz Rd,Al Arid,,24.878427,46.621371
300,????? ???? ??????? ???????,Bake Boss Catering,Restaurant,SNACK & BEVERAGES,,,Abi Bakr As Siddiq Rd,Al Arid,,24.881002,46.623601
303,???? ?????,Bakery and Tmis,Restaurant ,PASTERIE,,,Abi Bakr As Siddiq Rd,Al Arid,,24.868890,46.640030
305,???? ???? ?????? ???????,Mazaq Alhayaat Restaurant,Restaurant,,,,Abi Bakr As Siddiq Rd,Al Arid,,24.868702,46.640123
312,???? ?????,Bukhari Restaurant,Restaurant,,,050 960 5912,King Abdulaziz Rd,Al Arid,,24.870596,46.624610
316,???? ????,Fawal Sara,Restaurant,,,059 649 9099,King Abdulaziz Rd,Al Arid,,24.868528,46.619869
321,???? ????? ???????,Al'arz Almustawi Restaurant,Restaurant,,011 281 9000,,King Abdulaziz Rd,Al Arid,,24.866197,46.620103
324,????,Herfy,Restaurant,BURGERS,9200 01111,,King Abdulaziz Rd,Al Arid,herfy.com,24.858846,46.623791
325,???? ????,Little Caesars,Restaurant,PIZZA,011 410 7500,,King Abdulaziz Rd,Al Arid,littlecaesarsksa.com,24.858637,46.623893
326,???? ??????,Burger boss,Restaurant,BURGERS,,054 534 2637,King Abdulaziz Rd,Al Arid,,24.858571,46.623926
327,???? ? ??????,Lahamah w Tatabilah,Restaurant,BURGERS,,050 044 8006,King Abdulaziz Rd,Al Arid,,24.858144,46.624145
336,???? ???????,raghif alrrabia,Restaurant,,,,King Abdulaziz Rd,Al Arid,,24.856204,46.625119
337,?????? ??????,Sweets Carmeh,Restaurant,PASTERIE,,055 674 7247,King Abdulaziz Rd,Al Arid,,24.856143,46.625147
338,????? ??????,Sanabel Alsalam,Restaurant,PASTERIE,,053 103 2781,King Abdulaziz Rd,Al Arid,safm.com.sa,24.856088,46.625166
350,???? ????? ???????,Mateam Malaeiq Albukhari,Restaurant,,,,Prince Saud Ibn Abdullah Ibn Jalawi,Al Arid,,24.854773,46.633401
351,????? ?????,Falafil Alshsham,"Restaurant

",,,,Prince Saud Ibn Abdullah Ibn Jalawi,Al Arid,,24.855249,46.634529
377,???? ?? ??? ??,L & R Restaurant,Restaurant,,,053 346 3388,Abi Bakr As Siddiq Rd,Al Arid,,24.867126,46.640922
386,???? ????? ??????,fwal maesub alttayif,Restaurant,,011 810 6167,,Abi Bakr As Siddiq Rd,Al Arid,,24.862870,46.643039
387,???? ?????? ??????,Restaurant Alberst burner,Restaurant,,,,Abi Bakr As Siddiq Rd,Al Arid,,24.862672,46.643138
391,????? ??,Pizza Hut,Restaurant,PIZZA,9200 00910,,Abi Bakr As Siddiq Rd,Al Arid,pizzahut.me,24.861620,46.643665
396,???? ???,Burger King At Al-Bustan,Restaurant,BURGERS,,,King Abdulaziz Rd,Al Arid,,24.850874,46.636570
399,?? ???,Subway Al Kateb Street,Restaurant,SANDWICH,,,King Abdulaziz Rd,Al Arid,subwayarabia.com,24.847493,46.633039
414,?????????,Burgerizzr,Restaurant,BURGERS,011 812 0742,,King Salman Rd,An Narjis,,24.852984,46.675991
424,?? ???? ,I Burger,Restaurant,BURGERS,,,King Salman Rd,An Narjis,,24.853216,46.676543
425,???? ???? ????????,Saeed Al Zahrani Restaurant,Restaurant,,,059 470 7493,Prince Faisal Ibn Bandar Ibn Abdulaziz Rd,An Narjis,,24.857128,46.677411
426,???? ????,"Jana Restaurant
",Restaurant,,,058 055 8088,Prince Faisal Ibn Bandar Ibn Abdulaziz Rd,An Narjis,,24.860065,46.672564
435,???? ???????,Al Bukhari Restaurant,Restaurant,,,,Prince Saud Ibn Abdullah Ibn Jalawi,An Narjis,,24.862144,46.653454
443,????? ?????,Harry's Pizza ,Restaurant,PIZZA,9200 04682,,Abi Bakr As Siddiq Rd,An Narjis,harryspizza.sa,24.858928,46.646193
444,?? ???,Subway,Restaurant,SANDWICH,,,Abi Bakr As Siddiq Rd,An Narjis,,24.858794,46.646139
445,??? ??????,Furn Aldayaa,Restaurant,,011 810 1736,,Abi Bakr As Siddiq Rd,An Narjis,furnaldayaa.com.sa,24.858833,46.646156
448,??????????,Burgerizzr,Restaurant,BURGERS,,,Abi Bakr As Siddiq Rd,An Narjis,,24.858610,46.646070
452,??????? ?????,Dominos,Restaurant,PIZZA,9200 12345,,Abi Bakr As Siddiq Rd,An Narjis,dominos.com,24.858263,46.645937
453,??????,Canton,Restaurant,CHINESE FOOD ,,,Abi Bakr As Siddiq Rd,An Narjis,canton-express.com,24.858170,46.645898
455,????????,Burgerizzr,Restaurant,BURGERS,,,Abi Bakr As Siddiq Rd,An Narjis,,24.858071,46.645895
458,???? ????? ?????? ?????,Arzak Riyadh Bukhari Restaurant,Restaurant,,,,Abi Bakr As Siddiq Rd,An Narjis,,24.856051,46.646921
459,???? ????? ?????? ?????,Livelihoods Riyadh Al-Bukhari Restaurant,Restaurant,,,,Abi Bakr As Siddiq Rd,An Narjis,,24.855976,46.646959
